class_name,tempo,beats,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues,103.359375,50,0.380260210341482,0.248262286186218,2116.94295900516,1956.61105622332,4196.10796004257,0.127272473031153,-26.929784696801,107.334007631521,-46.8099931392635,40.9326338089783,-21.4637758156854,24.8162749457718,-18.9455713482782,15.2534594619416,-15.0501040814896,12.2628227627435,-15.2340499010822,14.3366121677627,-13.8217687691063,7.56278873403148,-6.18137249291447,0.330165005781351,-6.82957123424995,0.96592174368425,-7.57082474682789,2.9189869428522,blues
blues,95.703125,44,0.306450871463278,0.113475412130356,1156.07049638204,1497.66817596835,2170.05354464977,0.058613402186533,-233.86077189795,136.170239111756,3.28948974625742,48.9311927001014,8.69910602900289,13.9547517650045,5.35944874601744,0.381334015658371,-13.4902650246156,16.8717685299336,5.14525776511667,-2.25057776489601,3.95919778748784,5.32255472734417,0.812028401642251,-1.10720160022563,-4.5565550946661,-2.43648980348071,3.31691261181246,-0.608484894418478,blues
blues,151.999080882353,75,0.253487102455053,0.15157076716423,1331.07397010506,1973.64343728952,2900.17412971048,0.042967238293344,-221.80254934934,110.843070465468,18.6209835841637,30.9229964003292,3.29132963934296,22.5874467473536,-20.4183025655362,12.1209949139614,-26.3479562270079,-4.35627011880244,-26.4066742422302,-13.0377234378836,-12.6522276969468,-1.82190531445164,-7.26009664256736,-6.66025177423323,-14.682693515388,-11.7192635642968,-11.0252162122476,-13.3872600549845,blues
blues,184.5703125,91,0.269320021614413,0.119071714580059,1361.04546732789,1567.80459572962,2739.62510052849,0.069123920641447,-207.208080000967,132.799175471735,-15.4389855745807,60.9867270103288,0.725806998732678,12.4378276959497,1.18383572268191,-1.54077944798075,-17.8881539080632,8.358496131028,-2.45206763021195,-0.613248178133871,0.384877370355034,2.60512792656335,-5.18892375075332,-9.52745528651868,-9.2443940489814,-2.84827375103229,-1.41870686210656,-5.9326069596739,blues
blues,161.4990234375,74,0.391058604890863,0.137728348374367,1811.07608358329,2052.3325634592,3927.80958240615,0.075479513351393,-145.434567563669,102.829023431716,-12.5176770468787,56.9934724792059,2.27134731439035,26.5914016896327,-4.27480326524923,17.3388093759396,-7.9855929044589,15.2354268494757,-6.93459948715001,7.45721793590264,-10.4704440403711,-2.36048339614354,-6.78362349996943,2.67113408618402,-4.76087937464903,-0.949004850705792,0.024832052653458,-2.00531462116976,blues
blues,107.666015625,51,0.356588175741255,0.162027627229691,2068.37112468418,2033.93004696249,4231.49941270196,0.104371628894156,-95.4360266747876,105.216699936843,-26.9530121372471,60.8308729639331,-4.82822403832518,21.5384709116366,-13.5147782378967,12.1221069527545,-20.2336344302044,12.1386576034147,-5.2270184328492,10.2625751948413,-9.43818717344303,3.86753465512287,-10.1874528372669,3.58809274417672,-3.10075264509443,0.194596848828987,0.842871832056675,-3.41657642135025,blues
blues,161.4990234375,80,0.37470971953571,0.110496260225773,2340.43287338255,2256.53811517327,4972.50326528638,0.121775151775348,-116.517401858106,97.4302790804531,-13.880190789239,48.9667590116207,-22.5822435202127,27.7539692985282,-20.2286495338304,18.6307704284905,-14.6428840049554,8.47310038156584,-16.6446549948688,10.9981903225216,-13.8618007783189,9.735367421739,-5.08948800450536,2.63463793000034,-9.88381629269267,6.15905883488135,-7.68260791891807,-4.85247881685932,blues
blues,151.999080882353,74,0.430894125103607,0.196221590042114,1946.56565169977,1979.90993367767,3955.86774607561,0.09745368130805,-67.7709795634611,111.704184375555,-34.6461046926864,61.3348958515312,0.050251668454901,30.5606136300125,-12.701724815938,21.1595666293558,-13.1311449004644,16.2822943876808,-6.33524472393573,12.2958318355241,-12.4779883528151,1.6812779029386,-5.14206841342815,4.64400179250282,-6.91921746490277,1.04071834132803,-4.73687088135899,-0.660037065768839,blues
blues,92.28515625,45,0.290948434584845,0.089222259819508,1109.56962728165,1463.28813129974,2243.5697667739,0.051724932880225,-249.281995858863,130.997924315816,0.665435008697075,66.6961147894231,17.9058945221804,4.62295983970303,6.61003644342271,1.24537553432545,1.41917471049871,-1.58429252406404,-0.974159309443059,-3.57506454333375,-2.92691468937801,4.59868562674769,7.47811482559271,-0.17876957417481,-2.81885741835151,-2.66763636636817,0.751667097900022,-0.533179328348013,blues
blues,151.999080882353,70,0.329162734681348,0.06698053330183,1172.06569524519,1705.81750152421,2344.95248705979,0.045045834945821,-305.705187205087,113.060911380165,12.1187226136826,45.0300032439412,17.7697593732677,14.579916751677,4.16673360194212,0.225273154753222,-7.02174677622676,13.6442715398456,8.9345289850612,1.29847806324715,5.95447776435143,8.54386690579647,1.1176637458071,0.591558671655838,0.057473911366809,-3.71234158279039,-1.00444806231308,-1.8024338511471,blues
